[16:37:49] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[16:37:51] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:37:51] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:37:51] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[16:37:51] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[16:37:51] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:37:51] [Worker-Main-9/INFO]: Loaded 7 recipes
[16:37:52] [Worker-Main-9/INFO]: Loaded 1141 advancements
[16:37:53] [Server thread/INFO]: Starting minecraft server version 1.18.2
[16:37:53] [Server thread/INFO]: Loading properties
[16:37:53] [Server thread/INFO]: Default game type: SURVIVAL
[16:37:53] [Server thread/INFO]: Generating keypair
[16:37:53] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:37:53] [Server thread/INFO]: Using default channel type
[16:37:53] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[16:37:53] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[16:37:53] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[16:37:53] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[16:37:53] [Server thread/INFO]: Preparing level "world"
[16:37:53] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:04] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:05] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[16:38:05] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[16:38:06] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[16:38:06] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[16:38:07] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[16:38:07] [Worker-Main-13/INFO]: Preparing spawn area: 1%
[16:38:08] [Worker-Main-13/INFO]: Preparing spawn area: 1%
[16:38:08] [Worker-Main-14/INFO]: Preparing spawn area: 1%
[16:38:09] [Worker-Main-10/INFO]: Preparing spawn area: 2%
[16:38:09] [Worker-Main-10/INFO]: Preparing spawn area: 3%
[16:38:10] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[16:38:10] [Worker-Main-10/INFO]: Preparing spawn area: 5%
[16:38:11] [Worker-Main-14/INFO]: Preparing spawn area: 6%
[16:38:11] [Worker-Main-11/INFO]: Preparing spawn area: 6%
[16:38:12] [Worker-Main-10/INFO]: Preparing spawn area: 8%
[16:38:12] [Worker-Main-8/INFO]: Preparing spawn area: 8%
[16:38:13] [Worker-Main-10/INFO]: Preparing spawn area: 9%
[16:38:13] [Worker-Main-9/INFO]: Preparing spawn area: 9%
[16:38:14] [Worker-Main-9/INFO]: Preparing spawn area: 10%
[16:38:14] [Worker-Main-12/INFO]: Preparing spawn area: 10%
[16:38:15] [Worker-Main-9/INFO]: Preparing spawn area: 10%
[16:38:15] [Worker-Main-8/INFO]: Preparing spawn area: 11%
[16:38:16] [Worker-Main-8/INFO]: Preparing spawn area: 12%
[16:38:16] [Worker-Main-8/INFO]: Preparing spawn area: 13%
[16:38:17] [Worker-Main-13/INFO]: Preparing spawn area: 14%
[16:38:17] [Worker-Main-9/INFO]: Preparing spawn area: 14%
[16:38:18] [Worker-Main-12/INFO]: Preparing spawn area: 14%
[16:38:18] [Worker-Main-8/INFO]: Preparing spawn area: 14%
[16:38:19] [Worker-Main-14/INFO]: Preparing spawn area: 14%
[16:38:19] [Worker-Main-14/INFO]: Preparing spawn area: 16%
[16:38:20] [Worker-Main-9/INFO]: Preparing spawn area: 18%
[16:38:20] [Worker-Main-11/INFO]: Preparing spawn area: 25%
[16:38:21] [Worker-Main-12/INFO]: Preparing spawn area: 30%
[16:38:21] [Worker-Main-9/INFO]: Preparing spawn area: 32%
[16:38:22] [Worker-Main-12/INFO]: Preparing spawn area: 35%
[16:38:22] [Worker-Main-12/INFO]: Preparing spawn area: 41%
[16:38:23] [Worker-Main-9/INFO]: Preparing spawn area: 48%
[16:38:23] [Worker-Main-9/INFO]: Preparing spawn area: 52%
[16:38:24] [Worker-Main-10/INFO]: Preparing spawn area: 52%
[16:38:24] [Worker-Main-13/INFO]: Preparing spawn area: 64%
[16:38:25] [Worker-Main-9/INFO]: Preparing spawn area: 71%
[16:38:25] [Worker-Main-9/INFO]: Preparing spawn area: 74%
[16:38:26] [Worker-Main-13/INFO]: Preparing spawn area: 80%
[16:38:26] [Worker-Main-11/INFO]: Preparing spawn area: 85%
[16:38:27] [Worker-Main-8/INFO]: Preparing spawn area: 89%
[16:38:27] [Worker-Main-13/INFO]: Preparing spawn area: 97%
[16:38:27] [Server thread/INFO]: Time elapsed: 34155 ms
[16:38:27] [Server thread/INFO]: Done (34.252s)! For help, type "help"
[16:42:52] [Server thread/INFO]: redaxe3636[/127.0.0.1:50227] logged in with entity id 272 at (37.65500191955202, 67.0, -17.571289260326395)
[16:42:52] [Server thread/INFO]: redaxe3636 joined the game
[16:43:11] [Server thread/INFO]: redaxe3636 lost connection: Disconnected
[16:43:11] [Server thread/INFO]: redaxe3636 left the game
